# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: D:\technik\microcore\hardware\EP4CE6_OMDAZZ\Intel\EP4CE6_Altera.csv
# Generated on: Fri Jun 09 19:49:10 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Live I/O Check Error,Differential Pair,Strict Preservation
sd_dq[5],Bidir,PIN_34,2,B2_N0,PIN_34,3.3-V LVTTL,,,,,,
sd_dq[4],Bidir,PIN_33,2,B2_N0,PIN_33,3.3-V LVTTL,,,,,,
sd_dq[3],Bidir,PIN_32,2,B2_N0,PIN_32,3.3-V LVTTL,,,,,,
sd_dq[2],Bidir,PIN_31,2,B2_N0,PIN_31,3.3-V LVTTL,,,,,,
sd_dq[1],Bidir,PIN_30,2,B2_N0,PIN_30,3.3-V LVTTL,,,,,,
sd_dq[0],Bidir,PIN_28,2,B2_N0,PIN_28,3.3-V LVTTL,,,,,,
sd_ldqm,Output,PIN_42,3,B3_N0,PIN_42,3.3-V LVTTL,,,,,,
sd_ras_n,Output,PIN_71,4,B4_N0,PIN_71,3.3-V LVTTL,,,,,,
sd_udqm,Output,PIN_55,4,B4_N0,PIN_55,3.3-V LVTTL,,,,,,
sd_we_n,Output,PIN_69,4,B4_N0,PIN_69,3.3-V LVTTL,,,,,,
sda,Bidir,PIN_113,7,B7_N0,PIN_113,3.3-V LVTTL,,,,,,
seg[7],Output,PIN_127,7,B7_N0,PIN_127,3.3-V LVTTL,,,,,,
seg[6],Output,PIN_124,7,B7_N0,PIN_124,3.3-V LVTTL,,,,,,
seg[5],Output,PIN_126,7,B7_N0,PIN_126,3.3-V LVTTL,,,,,,
seg[4],Output,PIN_132,8,B8_N0,PIN_132,3.3-V LVTTL,,,,,,
seg[3],Output,PIN_129,8,B8_N0,PIN_129,3.3-V LVTTL,,,,,,
seg[2],Output,PIN_125,7,B7_N0,PIN_125,3.3-V LVTTL,,,,,,
seg[1],Output,PIN_121,7,B7_N0,PIN_121,3.3-V LVTTL,,,,,,
seg[0],Output,PIN_128,8,B8_N0,PIN_128,3.3-V LVTTL,,,,,,
vga_bgr[2],Output,PIN_104,6,B6_N0,PIN_104,3.3-V LVTTL,,,,,,
vga_bgr[1],Output,PIN_105,6,B6_N0,PIN_105,3.3-V LVTTL,,,,,,
vga_bgr[0],Output,PIN_106,6,B6_N0,PIN_106,3.3-V LVTTL,,,,,,
vga_hsync,Output,PIN_100,6,B6_N0,PIN_100,3.3-V LVTTL,,,,,,
vga_vsync,Output,PIN_103,6,B6_N0,PIN_103,3.3-V LVTTL,,,,,,
